POSSIBLE, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Kefka, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Yoshimitsu, Game and Watch, Nathan Drake, Blue, Samus, Catherine, Knuckles, Ezio, Auron, L-Block; Teemo; Palutena, Dragonborn; Tom Nook; Pyramid Head, Yuna; Master Chief; Claire Redfield, Tifa Lockheart; Cirno; Chun-Li, Mario; Duke Nukem; Fawful, Vivi; Adam Jensen; Marisa Kirisame, Ganondorf; Guybrush; Max Payne, Squall; Rayman; Commander Video, Amaterasu; Vyse; Adol Cristin, Missingno; Tidus; Banjo, Creeper; Wario; King of all Cosmos, Red; Sissel; Corvo, Pit; Wrex; Cecil, Mega Man; Magikarp; Geno, Kratos; Travis Touchdown; Recette, Jill Valentine; Mike Haggar; Red Bird, Zero (MMX); Kratos Aurion; Boko, Weighted Companion Cube; Lenneth; Claptrap, ? Block; Rikku; Lyndis, Zelda; John Marston; Sackboy, Lightning; Donkey Kong; Falco, Charizard; Riku; Nier, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
ACTUAL, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Crash, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Kefka, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Yoshimitsu, Game and Watch, Nathan Drake, Blue, Samus, Catherine, Knuckles, Ezio, Auron, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Menji, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Sly Cooper, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Snake;
XerWolf, Link, Raiden, Yoshi, Shepard, Tharja, Hero, Jak, Ryu, Mega Man X, Sonic, Dracula, Layton, Phoenix, KOS-MOS, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Falcon, Bayonetta, GlaDOS, Ike, Niko, Ratchet, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Lu Bu, Meat Boy, Steve, Fox, Samus, Catherine, Knuckles, Ezio, Roxas, L-Block, Pyramid Head, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Tidus, Creeper, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Donkey Kong, Charizard, Link, Hero, Mega Man X, Sonic, Phoenix, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Ryu Hayabusa, Cloud, Squirtle, Leon Kennedy, Crono, Sora, Fox, Samus, Ezio, Tifa Lockheart, Mario, Squall, Creeper, Mega Man, Zero (MMX), Zelda, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Mega Man, Link, Cloud, Mega Man, Link;
Tsunami, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Falcon, N, GlaDOS, Ike, Mordin, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Gilgamesh, Yoshimitsu, Game and Watch, Nathan Drake, Fox, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Tom Nook, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Creeper, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Ike, Ryu Hayabusa, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Charizard, Link;
SubDeity, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Ryu Hayabusa, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Gilgamesh, Groose, Game and Watch, Nathan Drake, Blue, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Master Chief, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Ryu, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Ryu Hayabusa, Cloud, Squirtle, Leon Kennedy, Crono, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Charizard, Link, Snake, Mario, Link;
BK_Sheikah, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Reyn, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Shulk, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Meat Boy, Nathan Drake, Blue, Samus, Neku, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Squirtle, Leon Kennedy, Pikachu, Sora, Blue, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Link;
kuza, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Ness, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Otacon, Sora, Booker DeWitt, Groose, Lee Everett, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Sora, Samus, Mario, Charizard, Link, Snake, Mario, Snake;
A worlds envy, Link, Raiden, Yoshi, Shepard, Juliet, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Phoenix, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Clementine, Luigi, Big Boss, Locke, Elizabeth, Kirby, Wheatley, Snake, Alucard, Bayonetta, GlaDOS, Proto Man, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Ramza, Ridley, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Yoshimitsu, Meat Boy, Nathan Drake, Fox, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Lightning, Charizard, Link, Shepard, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, GlaDOS, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Mega Man, Link, Snake, Mario, Link;
Shake, Link, Raiden, Yoshi, Shepard, Tiny Tina, Aerith, Draven, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Reyn, Luigi, Big Boss, Ness, Thrall, Kirby, Wheatley, Snake, Alucard, N, GlaDOS, Ike, Niko, Ratchet, Lara Croft, Kefka, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Booker DeWitt, Groose, Game and Watch, Nathan Drake, Fox, Samus, Catherine, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Pit, Mega Man, Kratos, Red Bird, Zero (MMX), Weighted Companion Cube, Rikku, Zelda, Donkey Kong, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Luigi, Kirby, Snake, GlaDOS, Kefka, Cloud, Dante, Leon Kennedy, Pikachu, Sora, Nathan Drake, Samus, Auron, Dragonborn, Mario, Squall, Red, Mega Man, Zero (MMX), Charizard, Link, Sonic, Sephiroth, Snake, Cloud, Pikachu, Samus, Mario, Mega Man, Link, Cloud, Mario, Link;
Bospsychopaat, Link, Raiden, Yoshi, Shepard, Tharja, Aerith, Jak, Ryu, Mega Man X, Sonic, Dracula, Barret, Marth, Vincent, Mewtwo, The Boss, Sub-Zero, Bowser, Sephiroth, Morrigan, Spyro, Luigi, Big Boss, Ness, Elizabeth, Kirby, Vercetti, Snake, Alucard, Bayonetta, GlaDOS, Ike, Epona, Altair, Lara Croft, Zack, Cloud, Frog, Lugia, Dante, Squirtle, Zidane, Shadow, Leon Kennedy, Gordon Freeman, Crono, Pikachu, Magus, Sora, Gilgamesh, Groose, Lee Everett, Nathan Drake, Fox, Samus, Vaas, Knuckles, Ezio, Auron, L-Block, Dragonborn, Yuna, Tifa Lockheart, Mario, Vivi, Ganondorf, Squall, Amaterasu, Missingno, Wario, Red, Cecil, Mega Man, Kratos, Jill Valentine, Zero (MMX), Weighted Companion Cube, ? Block, Zelda, Lightning, Charizard, Link, Aerith, Mega Man X, Sonic, Vincent, Bowser, Sephiroth, Big Boss, Kirby, Snake, Epona, Zack, Cloud, Dante, Leon Kennedy, Crono, Sora, Fox, Samus, Auron, Tifa Lockheart, Mario, Missingno, Red, Mega Man, Zero (MMX), Charizard, Link, Vincent, Sephiroth, Snake, Cloud, Crono, Samus, Mario, Charizard, Link, Snake, Mario, Link;
